#Centerline temperature
# Temperature  Step:180 Time:1800.0 s
#   Point                    X          Y (Average)              Y (Min)              Y (Max)
       1  0.00000000000E+0000  1.18169136052E+0003  1.18169136052E+0003  1.18169136052E+0003
       2  2.34375000000E-0003  1.16601383079E+0003  1.16601383079E+0003  1.16601383079E+0003
       3  4.68750000000E-0003  1.15044995011E+0003  1.15044995011E+0003  1.15044995011E+0003
       4  9.37500000000E-0003  1.11985566430E+0003  1.11985566430E+0003  1.11985566430E+0003
       5  1.87500000000E-0002  1.06203541795E+0003  1.06203541795E+0003  1.06203541795E+0003
       6  2.81250000000E-0002  1.01073296949E+0003  1.01073296949E+0003  1.01073296949E+0003
       7  3.75000000000E-0002  9.67746086579E+0002  9.67746086579E+0002  9.67746086579E+0002
       8  4.68750000000E-0002  9.34101042351E+0002  9.34101042351E+0002  9.34101042351E+0002
       9  5.62500000000E-0002  9.10173210760E+0002  9.10173210760E+0002  9.10173210760E+0002
      10  6.56250000000E-0002  8.95930624054E+0002  8.95930624054E+0002  8.95930624054E+0002
      11  7.50000000000E-0002  8.91210095979E+0002  8.91210095979E+0002  8.91210095979E+0002
